loaddate,uniqueid,workorder,length,width,color,description
1/18/2024,10264915,25512491,107.875,21,TW ,0900X21 25P RR PAN TW SL      
1/18/2024,10264914,25512491,107.875,21,TW ,0900X21 25P RR PAN TW SL      
1/18/2024,10264913,25512491,107.875,21,TW ,0900X21 25P RR PAN TW SL      
1/18/2024,10264912,25512491,107.875,21,TW ,0900X21 25P RR PAN TW SL      
1/18/2024,10264911,25512491,107.875,21,TW ,0900X21 25P RR PAN TW SL      
1/18/2024,10264910,25512491,107.875,21,TW ,0900X21 25P RR PAN TW SL      
1/18/2024,10264909,25512491,107.875,21,TW ,0900X21 25P RR PAN TW SL      
1/18/2024,10264908,25512491,107.875,21,TW ,0900X21 25P RR PAN TW SL      
1/18/2024,10264907,25512491,107.875,21,TW ,0900X21 25P RR PAN TW SL      
1/18/2024,10264906,25512491,107.875,21,TW ,0900X21 25P RR PAN TW SL      
1/18/2024,10264905,25512491,107.875,21,TW ,0900X21 25P RR PAN TW SL      
1/18/2024,10264904,25512491,107.875,21,TW ,0900X21 25P RR PAN TW SL      
1/18/2024,10264903,25512491,107.875,21,TW ,0900X21 25P RR PAN TW SL      
1/18/2024,10264921,25512497,191.875,21,TW ,1600X21 25P RR PAN TW SL      
1/18/2024,10264943,25512485,95.875,18,TW ,0800X18 25P RR PAN TW F       
1/18/2024,10264942,25512485,95.875,18,TW ,0800X18 25P RR PAN TW F       
1/18/2024,10264941,25512485,95.875,18,TW ,0800X18 25P RR PAN TW F       
1/18/2024,10264940,25512485,95.875,18,TW ,0800X18 25P RR PAN TW F       
1/18/2024,10264939,25512485,95.875,18,TW ,0800X18 25P RR PAN TW F       
1/18/2024,10264938,25512485,95.875,18,TW ,0800X18 25P RR PAN TW F       
1/18/2024,10264937,25512485,95.875,18,TW ,0800X18 25P RR PAN TW F       
1/18/2024,10264936,25512485,95.875,18,TW ,0800X18 25P RR PAN TW F       
1/18/2024,10264935,25512485,95.875,18,TW ,0800X18 25P RR PAN TW F       
1/18/2024,10264934,25512485,95.875,18,TW ,0800X18 25P RR PAN TW F       
1/18/2024,10264933,25512485,95.875,18,TW ,0800X18 25P RR PAN TW F       
1/18/2024,10264932,25512485,95.875,18,TW ,0800X18 25P RR PAN TW F       
1/18/2024,10264931,25512485,95.875,18,TW ,0800X18 25P RR PAN TW F       
1/18/2024,10264930,25512485,95.875,18,TW ,0800X18 25P RR PAN TW F       
1/18/2024,10264929,25512485,95.875,18,TW ,0800X18 25P RR PAN TW F       
1/18/2024,10264928,25512485,95.875,18,TW ,0800X18 25P RR PAN TW F       
1/18/2024,10264927,25512485,95.875,18,TW ,0800X18 25P RR PAN TW F       
1/18/2024,10264926,25512485,95.875,18,TW ,0800X18 25P RR PAN TW F       
1/18/2024,10264925,25512485,95.875,18,TW ,0800X18 25P RR PAN TW F       
1/18/2024,10264924,25512485,95.875,18,TW ,0800X18 25P RR PAN TW F       
1/18/2024,10264923,25512485,95.875,18,TW ,0800X18 25P RR PAN TW F       
1/18/2024,10264922,25512485,95.875,18,TW ,0800X18 25P RR PAN TW F       
1/18/2024,10264946,25512489,107.875,18,TW ,0900X18 25P RR PAN TW F       
1/18/2024,10264945,25512489,107.875,18,TW ,0900X18 25P RR PAN TW F       
1/18/2024,10264944,25512489,107.875,18,TW ,0900X18 25P RR PAN TW F       
1/18/2024,10264952,25512493,191.875,18,TW ,1600X18 25P RR PAN TW F       
1/18/2024,10264951,25512493,191.875,18,TW ,1600X18 25P RR PAN TW F       
1/18/2024,10264950,25512493,191.875,18,TW ,1600X18 25P RR PAN TW F       
1/18/2024,10264949,25512493,191.875,18,TW ,1600X18 25P RR PAN TW F       
1/18/2024,10264948,25512493,191.875,18,TW ,1600X18 25P RR PAN TW F       
1/18/2024,10264947,25512493,191.875,18,TW ,1600X18 25P RR PAN TW F       
1/18/2024,10264954,25512465,99.875,21,TW ,0804X21 25P RR PAN TW SL      
1/18/2024,10264953,25512465,99.875,21,TW ,0804X21 25P RR PAN TW SL      
1/18/2024,10264962,25512462,99.875,18,TW ,0804X18 25P RR PAN TW F       
1/18/2024,10264961,25512462,99.875,18,TW ,0804X18 25P RR PAN TW F       
1/18/2024,10264960,25512462,99.875,18,TW ,0804X18 25P RR PAN TW F       
